brand,model,car_name,price,year,hand_num,horse_power,4x4,fuel_type,engine_volume,valid_test,magnesium_wheels,distance_control,economical,adaptive_cruise_control,cruise_control,brand_normalized,brand_group
Suzuki,Swift,Suzuki Swift,24700.0,2012,3,94.0,0,petrol,1.2,1,1,0,0,0,0,suzuki,Budget
Subaru,B3,Subaru B3 sedan,12000.0,2009,2,107.0,0,petrol,1.5,1,0,0,0,0,0,subaru,Other
Kia,Picanto,Kia Picanto,57325.0,2018,1,84.0,0,petrol,1.2,0,1,1,0,0,0,kia,Budget
Opel,Corsa,Opel Corsa,12500.0,2012,2,100.0,0,petrol,1.4,1,0,0,0,0,0,opel,Other
Volkswagen,Jetta,Volkswagen Jetta,26000.0,2014,2,105.0,0,petrol,1.2,1,0,0,0,0,0,volkswagen,Other
Hyundai,i10,Hyundai i10,58000.0,2020,3,84.0,0,petrol,1.2,0,1,1,0,0,0,hyundai,Budget
Kia,Stonic,Kia Stonic,79600.0,2019,1,120.0,0,petrol,1.0,0,1,1,0,0,0,kia,Budget
Citroen,Berlingo,Citroen Berlingo 2nd generation (2008-2019),23000.0,2012,3,92.0,0,diesel,1.6,1,0,0,1,0,0,citroen,Other
Toyota,Corolla Hybrid,Toyota Corolla Hybrid,88000.0,2021,1,98.0,0,hybrid,1.8,0,0,0,0,1,1,toyota,Budget
Volkswagen,Golf GTI,Volkswagen Golf GTI,75000.0,2011,3,210.0,0,petrol,2.0,0,1,0,0,0,0,volkswagen,Other
Toyota,Prius Plus Hybrid,Toyota Prius Plus Hybrid,138000.0,2021,2,99.0,0,petrol,1.8,0,1,1,0,0,0,toyota,Budget
Ford,Focus,Ford Focus,10000.0,2012,2,125.0,0,petrol,1.6,1,0,0,0,0,0,ford,Other
Skoda,Aniac,Skoda Aniac,170000.0,2023,1,204.0,0,electric,,0,1,1,1,0,0,skoda,Budget
Renault,Megane Estate/ Grand Tour,Renault Megane Estate/ Grand Tour,72000.0,2019,1,110.0,0,diesel,1.5,0,1,1,1,0,0,renault,Budget
Peugeot,Boxer,Peugeot Boxer,71000.0,2019,1,130.0,0,diesel,2.0,0,0,1,0,0,0,peugeot,Other
Hyundai,Sonata Hybrid,Hyundai Sonata Hybrid,89999.0,2018,1,154.0,0,hybrid,2.0,0,1,0,0,1,1,hyundai,Budget
Skoda,Octavia,Skoda Octavia,76000.0,2019,1,115.0,0,petrol,1.0,0,1,1,1,0,0,skoda,Budget
Audi,A1,Audi A1,104900.0,2020,3,116.0,0,petrol,1.0,1,0,0,0,0,0,audi,Luxury
Skoda,Superb,Skoda Superb (2019 onwards),124900.0,2021,1,150.0,0,petrol,1.5,0,1,1,0,1,1,skoda,Budget
Kia,Niro Hybrid,Kia Niro Hybrid,116000.0,2021,1,141.0,0,hybrid,1.6,0,0,0,1,1,1,kia,Budget
BMW,2 Series,BMW 2 Series,164500.0,2015,4,326.0,0,petrol,3.0,1,1,0,0,0,0,bmw,Luxury
Cadillac,SRX,Cadillac SRX,7000.0,2014,2,314.0,1,petrol,3.6,1,1,0,0,0,0,cadillac,Luxury
Seat,Atka,Seat Atka,81900.0,2020,1,150.0,0,petrol,1.5,0,1,1,0,1,1,seat,Budget
SAIC,Marvel R,If. G. / MG Marvel R,200888.0,2024,1,180.0,0,electric,,0,1,0,1,0,0,saic,Other
Hyundai,Ioniq,Hyundai Ioniq,99000.0,2020,1,141.0,0,hybrid,1.6,0,1,0,0,1,1,hyundai,Budget
Citroen,Berlingo,Citroen Berlingo 3rd generation (2018 onwards),65000.0,2020,2,75.0,0,diesel,1.5,0,0,1,1,0,0,citroen,Other
Mazda,CX-5,Mazda CX-5,149000.0,2022,1,195.0,0,petrol,2.5,0,0,1,0,1,1,mazda,Other
Citroen,Jumpy,Citroen Jumpy short/medium,100000.0,2019,1,177.0,0,diesel,2.0,0,0,1,1,0,0,citroen,Other
Peugeot,508,Peugeot 508,35000.0,2016,2,165.0,0,petrol,1.6,0,1,0,0,0,0,peugeot,Other
Chevrolet,Trax,Chevrolet Trax,27500.0,2015,3,140.0,0,electric,1.8,0,1,0,1,0,0,chevrolet,Budget
